publish_date,headline_text
20040704,kapsis doubtful nikolaidis out of final
20040611,wa minister draws clearing line in sand
20040302,man to front court over maroochydore shooting
20040501,teaching pay offer largely unfair
20041215,storms bring flood of crop insurance claims
20040311,labor urges coalition revolt on telstra
20040416,indonesia builds new case against cleric
20040818,govt names business training firm
20041208,court ruling puts defence drug tests in doubt
20041228,tsunami aid flights leave darwin
20040702,australia signs asean anti terror agreement
20040208,beattie sees latham boost in third term win
20040524,liverpool plan announcement on houllier talks
20041110,civilians killed during ivory coast protest
20040707,vic police to reopen botched abuse cases
20040106,fans mob cruise at european premiere of last
20040904,hurricane frances heads to florida
20040222,australia wins world debating championship
20040703,zimbabwean opposition leader escapes attack
20040902,brandis accuser braces for possible expulsion
20041004,author urges labor to match dementia funding
20040919,wind farm proposal referred to nsw govt
20040715,police investigate playground fire
20040416,vanstone says atsic scrapping wont affect jobs
20040413,german aid organisation withdraws foreign help
20040420,greens campaigning on rail services
20040601,vic police investigate new corruption claims
20041230,healthy holiday bookings in whitsundays
20040601,interest rates tipped to remain on hold
20041111,migrating whale numbers dwindle
20040623,burswood directors recommend no to pbl offer
20040929,mp puts brakes on driver curfew plan
20040628,mayor seeks water agreement benefits
20040908,eriksson confident england will perform
20041020,super 14 contenders to be unveiled
20040805,animals great and small have genomes mapped
20040504,former diplomats criticise bushs mid east policy
20040925,rossi to formula one
20040629,guilty plea leaves origin door open for carroll
20040705,budget to allow free ferry passes
20040415,south korea poised to elect new parliament
20041014,classification process concerns ruddock in wake of
20041027,japan fails to budge on hostage threat
20041224,experts consider locust impact
20040623,long jail term sought for paedophile
20040930,victorian man injured in hang gliding accident
20040826,militants kidnap relatives of iraqi minister al
20040426,court fines wombat killer
20040602,hall cleared of striking
20040721,langer issues ryder cup rallying cry
20040911,three lebanese shot dead in baghdad officials
20040205,peak body aims to educate on depression
20040621,dead whales cause problems for tas authorities
20041103,queen recognises germans wartime suffering
20040528,taylor stakes early st jude classic lead
20041022,meteor shower lights up night sky
20041226,toddler drowns in backyard pool
20040407,convicted russian spy jailed for 15 years
20040316,gas explosion kills 15 russians
20040816,dont sit back or well get knocked over aloisi
20040820,nerimbera gets town water
20040415,mandela boosts anc as s africa votes
20040914,jimenez holds off ogrady in spain
20041215,pakistan to bowl if they win waca toss
20041112,search aims to shed light on reef micro organisms
20040703,murdoch uni welcomes lions share of funding
20040413,beattie fumes over howards tugun bypass
20040908,plentiful snow predicted after ski seasons end
20041108,firefighters battle to contain national park blaze
20041226,500 dead in south india after indonesian quake
20040912,santa loses aircraft altitude exemption
20040914,howards water plan will cost states
20040528,mactier wins silver in melbourne
20040630,credit growth continues at breakneck pace
20040817,googles market debut looms
20040818,govt names business training firm
20041007,qld treasurers energex apology draws criticism
20040306,southern qld cleans up after wild storms
20040318,foxtel working to resolve subcontractors dispute
20040621,latham may save tax plan for election
20040103,tana open to bids for glory
20041115,new council general manager to juggle jobs
20040707,wa to stop all imports of qld citrus fruits
