publish_date,headline_text
20030818,8 dead 10 missing as brazil boat capsizes
20030404,missing list threatens gers title drive
20031230,wangaratta reveals fire management plan
20031210,agforce fighting drought battle
20031014,australian police to patrol papua new guinea
20030405,no plans to cancel arafura games over sars threat
20030510,nsw airport bus service to close
20030228,telekom star savoldelli out for two months
20030421,teen dies in motorcycle crash
20030519,more cars stolen in tasmania than other states
20031016,csu staff join nationwide strike
20030509,chamber aims to boost dalby training
20030314,company cops fine for diesel spill
20030425,costello praises tenacity of anzacs at gallipoli
20030825,storms highlight 000 problems
20030507,savage says budget responsible
20030421,three missing in brazil ferry disaster
20030622,brazil in the hunt as usa head home
20031016,isa golfers get their fill of bull
20030914,accc head says rulings prove knockers wrong
20030607,snow blankets vic ski resorts
20031204,dodt hoping to make masters cut
20031031,greens fear free trade ambush
20030722,senate group told to raise medicare levy
20031208,government sets sail with 35b submarine deal
20030522,celtics give coach obrien contract extension
20031113,se ri pak aiming for three peat
20031014,mallee fowl figures plummet in wake of drought
20030920,powell praises indonesia at security meeting
20031221,police get hundreds of calls in missing qld boy
20030409,brazin shares fall after profit warning
20030524,woman suffers epileptic seizure during inmigration
20030722,eight injured as two bombs explode in spanish
20030810,bettini claims world cup lead with san sebastian
20030525,new g g to be appointed within weeks
20031119,iraq security in the balance
20030402,mystery virus worries flight staff
20030618,tour operator rejects croc claims
20030514,high tech sa farm business makes top 50 list
20030804,lay off bowyer robson tells fans
20031108,bosnia offers to send troops to iraq host us bases
20030323,siege follows double stabbing
20030810,woman flown to hospital after car accident
20030312,serb pm injured in belgrade shooting source
20030616,chopper difficulties hamper body retrieval
20030911,gan gan site owner named
20031028,thousands homeless as flooding sweeps through china
20030728,approval sought for new cape york body
20031006,top dogs put to work at scottsdale
20030310,bushmaster vehicle passes first test
20030721,murray reflects on cowboys loss
20031031,water demand rises as council supplements supply
20030722,israeli army raids rafah homes palestinians
20031010,study shows aboriginal identity under pressure
20031003,state rail denies agreeing to pay millennium stage
20030904,forest agreement proves positive
20030307,expo to focus on small businesses
20030904,scientists map basin springs
20030312,iranian asylum seekers frightened after detention
20030712,sptnrl
20030513,martinez upsets dokic in rome masters
20030617,compromise reached over water levy
20030725,israel restricts access to holy site
20030524,kimmorley leads sharks home last gasp penalty
20031120,carmichael omalley share nsw open lead
20030417,lions take out grand final rematch
20031020,blues miss rooney in dour draw
20031215,two dead in military accident near iran nuclear
20030325,burns victims want to use appeal money to pay
20031205,catholic church remains silent on abuse case
20030808,police seek info over shooting death
20031206,india to ban baby food ads to promote
20030910,new approach to drug abuse needed pearson
20030820,call for store charter to be made law
20030323,marines call air strikes at umm qasr nasiriya
20031104,lara grapples with selection dilemma
20030714,murphy pyman ohern among open qualifiers at loch
20030826,rwanda opposition rejects kagame landslide
