red_band_mean,red_band_var,red_band_std,red_band_kurtosis,red_band_skew,green_band_mean,green_band_var,green_band_std,green_band_kurtosis,green_band_skew,blue_band_mean,blue_band_var,blue_band_std,blue_band_kurtosis,blue_band_skew,image_class
-1.8205876690611185e-16,4.4278405413692265e-06,0.002104243460574186,6.66397337354552,0.05562083874926171,-3.8983950243550326e-17,4.056176399495124e-06,0.0020139951339303488,6.032130379788937,0.07972641287746247,-2.42163449962619e-07,3.622490882088592e-06,0.002104243460574186,6.142103923343528,0.29424778421001346,0
-4.0615458784437256e-16,1.8665462369760442e-06,0.0013662160286631263,-0.5200413292723489,0.009024234469181268,-3.9081611818879766e-16,1.8925478635847557e-06,0.001375699045425545,-0.473514730975245,0.008497802339224038,-4.5291151471147264e-08,1.8572082416452294e-06,0.0013662160286631263,-0.5493452798673504,0.009279169496524622,0
-3.2749485996271216e-16,1.9481782248971e-06,0.001395771551829704,-0.8016141818060443,0.0036690162153809546,-3.44320295957192e-16,1.9491532301983894e-06,0.0013961207792302173,-0.8028812393548721,0.003453444979542668,-2.745868792063832e-16,1.935877229287866e-06,0.001395771551829704,-0.8041902684849758,0.0036752915887283814,0
-1.2194840279529753e-15,1.4840994965578593e-06,0.0012182362236273633,-0.7875694825595887,-0.015586050266361983,-1.1952640737383042e-15,1.4806579392813035e-06,0.001216822887392123,-0.7907815999373473,-0.0143791202993354,-1.1022453506905603e-15,1.4368592826477763e-06,0.0012182362236273633,-0.8250297760289733,-0.01631227834905213,0
-2.8633654967378044e-16,1.0557417881497157e-06,0.0010274929625791681,-1.1417053163822326,0.012305497686673267,-2.383702914806311e-16,1.058249595846312e-06,0.001028712591468731,-1.1411458836970476,0.012541506552751899,-2.7463243369707773e-16,1.051374029325959e-06,0.0010274929625791681,-1.146510285808901,0.012244946106066806,0
1.3808937415293992e-07,2.0826824382588266e-06,0.001443150178692026,-0.6490982760042905,0.015665649730716765,2.1658493203865514e-08,2.0713831636911566e-06,0.001439230059334211,-0.6613652155179932,0.015880413122729687,1.5464619782594542e-07,2.119465177764132e-06,0.001443150178692026,-0.636758268932514,0.01610173854458948,0
1.8361981449855503e-06,2.345729596552121e-05,0.004843273269754786,-0.672545959866921,-0.0072623164179468295,4.077177414997782e-07,7.572554571226832e-06,0.0027518274966332524,-1.1460663959479822,-0.00461253814752155,6.156569906377284e-06,2.3479517824382772e-05,0.004843273269754786,-0.6561979618365132,-0.011444729598691018,0
-3.6238982529147344e-09,8.091812557461287e-06,0.002844611143453756,-0.7022700572371399,0.010880517005468372,-3.8595703427753456e-16,8.508325637633598e-06,0.002916903433031954,-0.6577400098614024,0.011536466940993383,-3.2308559767909393e-06,8.354569335758376e-06,0.002844611143453756,-0.5661422645138852,0.040840236489215906,0
-1.4022628606652184e-06,7.21020676059949e-06,0.0026851828169790395,-0.9266823524936858,0.015246646868102296,-2.5595938547445063e-06,7.271334839672902e-06,0.0026965412734970147,-0.9118351311018471,0.016801630324618497,-4.86377563205955e-06,7.280519687742143e-06,0.0026851828169790395,-0.8937609306443544,0.023430368611833775,0
-5.552021408133911e-08,1.9725500795704705e-05,0.0044413399774960605,-0.6919963028956495,0.01154944822329853,-6.705623781949008e-08,1.973229436080332e-05,0.004442104721953696,-0.6907344516763745,0.010618183992393495,-4.1471048101500597e-08,1.9747805625767766e-05,0.0044413399774960605,-0.6899444687042191,0.011411663995347147,0
1.0531189016777992e-07,1.0140979421015486e-06,0.0010070243006509568,-1.2017213470104215,-0.003504318835774521,-6.2373915402052615e-16,1.020007377831929e-06,0.0010099541464006815,-1.1980780275443823,-0.00287384547021345,1.349045159243876e-07,1.0078929044506944e-06,0.0010070243006509568,-1.211887927340266,-0.003158481117210255,0
-1.2306628511534823e-15,2.283816336609709e-06,0.0015112300740157698,3.508110400747648,-0.014937917570253326,-1.1788752567583544e-15,2.167388168139094e-06,0.0014722052058524634,3.351416309630957,-0.017633969761166237,-1.1031623697350815e-15,2.509111669934901e-06,0.0015112300740157698,2.122562387180259,-0.01197523219979653,0
-9.00481573258994e-16,8.20347249199509e-06,0.0028641704718810105,0.4535773358610591,-0.017115751052228144,-9.871753424709124e-16,8.196670832392605e-06,0.002862982855762955,0.47204258047847336,-0.018277424811728993,-1.0972328214669462e-15,8.142999965065801e-06,0.0028641704718810105,0.42593382853653683,-0.019204777512441453,0
-8.911187092880613e-16,2.39308743915178e-06,0.0015469607102805746,2.436334133078751,0.0010800038597888208,-8.342653946472097e-16,2.404190374100119e-06,0.0015505451860878222,2.741219438796951,0.0006561173130726816,-1.551063302691267e-08,2.4011967813458606e-06,0.0015469607102805746,2.5146546204078897,0.0015536714138816219,0
-1.0281783810327005e-15,8.916707825582654e-07,0.0009442832109903604,-1.1633152932835396,-0.00011846885756555206,-2.8714908366170086e-08,9.051173776558319e-07,0.0009513765698480449,-1.1491739475537306,0.00015382414417800108,-1.1322488117813447e-07,8.930411046493007e-07,0.0009442832109903604,-1.1364541569394062,-0.0008187563468494153,0
-7.962245229461984e-16,1.4244729824723894e-05,0.003774219101314058,0.1319646084517525,-0.03302638313809702,-7.657768648659585e-16,1.4243458130567425e-05,0.003774050626391679,0.13234812053780054,-0.03261809627906122,-6.324080333098615e-16,1.4240445509071838e-05,0.003774219101314058,0.13211911799755027,-0.0328747476374614,0
-4.379798406748211e-09,1.3620305255388185e-05,0.0036905697738138193,0.19942531633222638,-0.01035150244424862,-5.92282309123192e-16,1.3701026511216504e-05,0.0037014897691627496,0.19401862334417652,-0.009714354723409521,-5.81376151122362e-16,1.3683383833320877e-05,0.0036905697738138193,0.19603567059577953,-0.011074438684330948,0
-4.055019621934029e-16,1.1926500527438772e-05,0.003453476585621911,0.16442314988519513,0.006941035444809794,-3.7299855515017684e-16,1.2032736013929e-05,0.0034688234336629187,0.2140896807452326,0.007247535423737252,-1.9021680115819355e-08,1.1882859611710038e-05,0.003453476585621911,0.12212351625118112,0.005093397457679571,0
